# Real, human-readable firmware version strings (Apple's own ProductVersion
# field, e.g. "7.2.2") for every (device, buildID) tuple currently present
# under keys/<device>/<device>_<buildID>.keys — NOT the
# opaque buildID itself (e.g. "12H606"). The package-dependency resolver
# used when baking ramdisks needs this to evaluate packages whose Depends:
# is gated on a firmware version range (e.g. `Depends: firmware (>= 6.0)`),
# since resolving those correctly requires the real version number, not
# just the buildID.
#
# GENERATED FILE — do not hand-edit. Regenerate with:
#   scripts/generate_firmware_versions.py [--verify]
# (.claude/TODO.md item 8: this used to be a hand-collected snapshot.)
#
# Format: one line per tuple, space-separated:
#   <device> <buildID> <version>
# Sorted by device then buildID (plain `LC_ALL=C sort`, matching this
# directory's other list files).
#
# Generated 2026-09-20. 101 tuples: 9 via appledb, 92 via ipsw.me.
#
# Sourcing:
#   ipsw.me         — https://api.ipsw.me/v4/device/<model>?type=ipsw,
#                     one GET per device model, reading each entry's
#                     "buildid"/"version" pair from the "firmwares" array.
#   appledb         — https://api.appledb.dev/ios/Apple%20TV%20Software;<buildID>.json,
#                     for internal/beta builds ipsw.me does not carry at
#                     all. Reads "iosVersion", NOT "version": AppleDB's
#                     "version" is an internal/marketing number that is not
#                     the ProductVersion (build 11B553 reports version
#                     "6.0.2" against a real ProductVersion of "7.0.4").
#   appledb+manifest — the same, then independently verified by resolving
#                     the build's real IPSW URL from AppleDB's own "sources"
#                     and range-fetching just that IPSW's BuildManifest.plist
#                     (HTTP Range against the remote zip's central directory,
#                     no full download) to read its real ProductVersion.
#
# NOTE: run without --verify, so no AppleDB-sourced entry was checked
# against a real BuildManifest.plist on this run.
#
AppleTV2,1 10A406e 6.0
AppleTV2,1 10A831 6.0.1
AppleTV2,1 10B144b 6.1
AppleTV2,1 10B329a 6.1.3
AppleTV2,1 10B809 6.1.4
AppleTV2,1 11A470e 7.0.1
AppleTV2,1 11A502 7.0.2
AppleTV2,1 11B511d 7.0.3
AppleTV2,1 11B554a 7.0.4
AppleTV2,1 11B651 7.0.6
AppleTV2,1 11D169b 7.1
AppleTV2,1 11D201c 7.1.1
AppleTV2,1 11D257c 7.1.2
AppleTV2,1 11D258 7.1.2
AppleTV2,1 8C150 4.2
AppleTV2,1 8C154 4.2.1
AppleTV2,1 8F191m 4.3
AppleTV2,1 8F202 4.3
AppleTV2,1 8F305 4.3
AppleTV2,1 8F455 4.3
AppleTV2,1 8M89 4.1
AppleTV2,1 9A334v 5.0
AppleTV2,1 9A335a 5.0
AppleTV2,1 9A336a 5.0
AppleTV2,1 9A405l 5.0.1
AppleTV2,1 9A406a 5.0.1
AppleTV2,1 9B179b 5.1
AppleTV2,1 9B206f 5.1.1
AppleTV2,1 9B830 5.1.1
AppleTV3,1 10A406e 6.0
AppleTV3,1 10A831 6.0.1
AppleTV3,1 10B144b 6.1
AppleTV3,1 10B329a 6.1.3
AppleTV3,1 10B809 6.1.4
AppleTV3,1 11A470e 7.0.1
AppleTV3,1 11A502 7.0.2
AppleTV3,1 11B511d 7.0.3
AppleTV3,1 11B553 7.0.4
AppleTV3,1 11B554a 7.0.4
AppleTV3,1 11B651 7.0.6
AppleTV3,1 11D169b 7.1
AppleTV3,1 11D201c 7.1.1
AppleTV3,1 11D257c 7.1.2
AppleTV3,1 12A365b 8.0
AppleTV3,1 12B410a 8.1
AppleTV3,1 12B435 8.1.1
AppleTV3,1 12B466 8.1.3
AppleTV3,1 12D508 8.2
AppleTV3,1 12F69 8.3
AppleTV3,1 12H1006 8.4.7
AppleTV3,1 12H523 8.4.1
AppleTV3,1 12H606 8.4.2
AppleTV3,1 12H847 8.4.2
AppleTV3,1 12H864 8.4.2
AppleTV3,1 12H876 8.4.3
AppleTV3,1 12H885 8.4.3
AppleTV3,1 12H903 8.4.3
AppleTV3,1 12H911 8.4.3
AppleTV3,1 12H914 8.4.6
AppleTV3,1 12H923 8.4.6
AppleTV3,1 12H937 8.4.6
AppleTV3,1 9B179b 5.1
AppleTV3,1 9B206f 5.1.1
AppleTV3,1 9B830 5.1.1
AppleTV3,2 10B144b 6.1
AppleTV3,2 10B329a 6.1.3
AppleTV3,2 10B806 6.1.4
AppleTV3,2 10B809 6.1.4
AppleTV3,2 11A469a 7.0.1
AppleTV3,2 11A470e 7.0.1
AppleTV3,2 11A502 7.0.2
AppleTV3,2 11B511d 7.0.3
AppleTV3,2 11B553 7.0.4
AppleTV3,2 11B554a 7.0.4
AppleTV3,2 11B651 7.0.6
AppleTV3,2 11D169b 7.1
AppleTV3,2 11D201b 7.1.1
AppleTV3,2 11D201c 7.1.1
AppleTV3,2 11D257a 7.1.2
AppleTV3,2 11D257b 7.1.2
AppleTV3,2 11D257c 7.1.2
AppleTV3,2 12A365b 8.0
AppleTV3,2 12A402 8.0.1
AppleTV3,2 12B401 8.1
AppleTV3,2 12B410a 8.1
AppleTV3,2 12B435 8.1.1
AppleTV3,2 12B466 8.1.3
AppleTV3,2 12D508 8.2
AppleTV3,2 12F69 8.3
AppleTV3,2 12H1006 8.4.7
AppleTV3,2 12H523 8.4.1
AppleTV3,2 12H606 8.4.2
AppleTV3,2 12H847 8.4.2
AppleTV3,2 12H864 8.4.2
AppleTV3,2 12H876 8.4.3
AppleTV3,2 12H885 8.4.3
AppleTV3,2 12H903 8.4.3
AppleTV3,2 12H911 8.4.3
AppleTV3,2 12H914 8.4.6
AppleTV3,2 12H923 8.4.6
AppleTV3,2 12H937 8.4.6
